id	modified	basisOfRecord	occurrenceID	individualCount	sex	lifeStage	eventID	taxonID	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet
8703EA86-84DC-41AE-9D14-3F3833D1D5E4	2018-02-12 12:43:00.397	HumanObservation	EF3D8409-D252-495C-82FB-7DE431764363	9	unknown	Juvenile	8703EA86-84DC-41AE-9D14-3F3833D1D5E4	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
8096FD9C-8835-46E7-B4E0-D2E5D171E2BE	2018-01-31 15:51:34.537	HumanObservation	8E724B5C-7BCB-41A9-B6FC-6D7D62374860	1	Male	Adult	8096FD9C-8835-46E7-B4E0-D2E5D171E2BE	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
8096FD9C-8835-46E7-B4E0-D2E5D171E2BE	2018-02-12 12:43:00.397	HumanObservation	A1D68D73-FF64-4DD4-BAB8-1080AC1E5EDE	9	unknown	Juvenile	8096FD9C-8835-46E7-B4E0-D2E5D171E2BE	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
70DFE71D-BC8B-4888-885A-C45805A151BA	2018-01-31 15:51:34.537	HumanObservation	B973AED5-F447-4588-8A5C-3653520D14CE	1	Male	Adult	70DFE71D-BC8B-4888-885A-C45805A151BA	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
70DFE71D-BC8B-4888-885A-C45805A151BA	2018-01-31 15:51:34.537	HumanObservation	F92DBF9C-CF0C-45E7-A4BD-C2DBF8B8539A	1	Female	Adult	70DFE71D-BC8B-4888-885A-C45805A151BA	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
70DFE71D-BC8B-4888-885A-C45805A151BA	2018-02-12 12:43:00.397	HumanObservation	8055DAEE-35F3-422D-AC83-6B400537C4E4	4	unknown	Juvenile	70DFE71D-BC8B-4888-885A-C45805A151BA	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
DB1C273F-032B-4528-8222-B7F4ACC2140A	2018-01-31 15:51:34.537	HumanObservation	05372B8A-BF1F-4CD1-9A89-8253341E0739	1	Female	Adult	DB1C273F-032B-4528-8222-B7F4ACC2140A	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
840958DB-B805-4C71-ADAD-33D674364949	2018-01-31 15:51:34.537	HumanObservation	33F1FEA3-B7A4-47D4-B98A-CEBF807BDDA2	2	Male	Adult	840958DB-B805-4C71-ADAD-33D674364949	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
35AA1C92-2171-41D9-AFBB-79D04976DEA5	2018-01-31 15:51:34.537	HumanObservation	C48D2943-E434-4E0A-A2C2-5E26593F99C4	1	Male	Adult	35AA1C92-2171-41D9-AFBB-79D04976DEA5	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
5908E5B7-D0E7-45A7-A135-5ADBBD42BC31	2018-01-31 15:51:34.537	HumanObservation	5C4A9B55-BA94-45CF-BD7F-0BFADB4F5669	1	Male	Adult	5908E5B7-D0E7-45A7-A135-5ADBBD42BC31	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
12D35892-B0B1-4DC5-95E1-E696C7672ECE	2018-01-31 15:51:34.537	HumanObservation	8F39EBE2-AF3A-4591-9A45-90DE8FC7F2E0	1	Male	Adult	12D35892-B0B1-4DC5-95E1-E696C7672ECE	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
12D35892-B0B1-4DC5-95E1-E696C7672ECE	2018-01-31 15:51:34.537	HumanObservation	D2848215-BA6C-469A-8788-E6636571378B	1	Female	Adult	12D35892-B0B1-4DC5-95E1-E696C7672ECE	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
12D35892-B0B1-4DC5-95E1-E696C7672ECE	2018-02-12 12:43:00.397	HumanObservation	3F67AFD0-A6C1-4FA0-B9A9-1A263971A14F	8	unknown	Juvenile	12D35892-B0B1-4DC5-95E1-E696C7672ECE	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
BA6A8F02-11DD-49CF-97D1-B1CC1646EB6A	2018-01-31 15:51:34.537	HumanObservation	A3812960-EA70-4016-8175-EF542F341A22	1	Male	Adult	BA6A8F02-11DD-49CF-97D1-B1CC1646EB6A	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
973273DD-FDB4-469C-BBEA-D49DFFA38791	2018-01-31 15:51:34.537	HumanObservation	38799932-1A88-4A0A-89A2-1978BDF4E1AF	1	Male	Adult	973273DD-FDB4-469C-BBEA-D49DFFA38791	https://www.gbif.org/species/2473421	Lagopus lagopus	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lagopus	lagopus
